from,to,weight
PLA,11,1
POF,5,1
POF,9,1
PRA,7,2
TIL,9,1
HAS,2,3
HAS,10,1
KAM,2,3
KAM,9,1
KAP,2,3
KAP,13,1
KEM,2,3
NEM,5,3
REI,2,3
REI,9,1
ROE,2,3
ROE,9,1
SCHW,5,3
SCHW,6,3
GRO,4,1
GRO,8,2
WOD,9,1
WOD,4,1
WOD,8,2
HER,8,3
KRE,8,3
KRE,9,2
PRI,12,1
PRI,2,3
PRI,8,3
VAS,3,3
VAS,11,1
SCHE,3,2
SCHE,11,1
SCHE,6,2
KOE,3,2
KOE,11,1
KAI,4,2
WEI,4,3
NIE,4,3
NIE,7,1
SCHO,7,3
SCHO,8,3
MAT,7,2
SCHL,7,3
NIEB,7,1
WEH,7,2
LAE,9,2
LEN,10,2
MIE,11,2
